2026-07-21 12:27:04 | INFO     | sync.sync_runner | material sync shuru (date=None)
2026-07-21 12:27:04 | INFO     | sync.sync_runner | material sync shesh: 710
2026-07-21 12:27:04 | INFO     | sync.sync_runner | customer sync shuru (date=2026-07-15)
2026-07-21 12:27:21 | INFO     | sync.sync_runner | customer sync shesh: (237935, 120)
2026-07-21 12:27:21 | INFO     | sync.sync_runner | sales sync shuru (date=2026-07-15)
2026-07-21 12:27:39 | INFO     | sync.sync_runner | sales sync shesh: 144354
2026-07-21 12:27:39 | INFO     | sync.sync_runner | delivery_info sync shuru (date=2026-07-15)
2026-07-21 12:27:41 | INFO     | sync.sync_runner | delivery_info sync shesh: 47166
2026-07-21 12:32:53 | INFO     | sync.runner | material sync shuru (date=None)
2026-07-21 12:32:53 | INFO     | sync.runner | material sync shesh: 710
2026-07-21 12:32:53 | INFO     | sync.runner | customer sync shuru (date=2026-07-15)
2026-07-21 12:33:10 | INFO     | sync.runner | customer sync shesh: (237935, 120)
2026-07-21 12:33:10 | INFO     | sync.runner | sales sync shuru (date=2026-07-15)
2026-07-21 12:33:27 | INFO     | sync.runner | sales sync shesh: 144354
2026-07-21 12:33:27 | INFO     | sync.runner | delivery_info sync shuru (date=2026-07-15)
2026-07-21 12:33:29 | INFO     | sync.runner | delivery_info sync shesh: 47166
2026-07-21 12:34:35 | INFO     | sync.runner | test_sync sync shuru (date=2026-07-15)
2026-07-21 12:34:35 | ERROR    | sync.runner | test_sync sync FAIL: ValueError: test error — SAP down
2026-07-21 12:38:23 | INFO     | sync.runner | test2 sync shuru (date=2026-07-15)
2026-07-21 12:38:23 | ERROR    | sync.runner | test2 sync FAIL: ValueError: test — started/ended check
